,Country,Year,HOUSE_OVERCROWD,HOUSE_COST_BURDEN,HOUSE_SANITARY_X
265,KOR,2020,4.70330379903316,,0.660712132
266,KOR,2021,3.97570207715034,,
267,LTU,2010,34.3812704086304,19.8520228266716,34.40826237
268,LTU,2011,11.453016102314,31.4476281404495,34.36401188
269,LTU,2012,11.7447279393673,,39.23224807
270,LTU,2013,19.4931536912918,29.105806350708,38.76017034
271,LTU,2014,20.5858454108238,,32.297346
272,LTU,2015,17.9268583655357,17.9652631282806,30.69768548
273,LTU,2016,16.4849117398262,12.7318397164345,37.13071644
274,LTU,2017,15.23796916008,10.045537352562,34.36478078
275,LTU,2018,15.0903269648552,8.66081789135933,30.87765872
276,LTU,2019,14.7226125001907,7.12500140070915,28.5842061
277,LTU,2020,14.4549772143364,11.135046184063,31.84128106
278,LTU,2021,16.2400335073471,9.86938774585724,
279,LTU,2022,17.2694325447083,15.7549947500229,
280,LUX,2010,7.77453109622002,16.5038526058197,0.0
281,LUX,2011,6.5757729113102,14.8324951529503,1.048370544
282,LUX,2012,6.62071704864502,18.7546879053116,0.182713056
283,LUX,2013,5.84996491670609,17.3157915472984,0.0
284,LUX,2014,6.25401511788368,22.1293404698372,0.184219959
285,LUX,2015,7.05424919724464,21.5796366333961,0.0
286,LUX,2016,7.01109021902084,25.8121997117996,1.126292907
287,LUX,2017,7.71608278155327,29.2501032352448,0.357106095
288,LUX,2018,8.08318629860878,19.5476680994034,0.229719561
289,LUX,2019,7.20348656177521,31.718784570694,0.679836562
290,LUX,2020,7.74821639060974,26.5193253755569,0.0
291,LUX,2021,7.74526819586754,24.5384633541107,
292,LUX,2022,4.84989136457443,34.1246038675308,
293,LVA,2010,46.8481928110123,10.6892921030521,36.85876727
294,LVA,2011,34.0795755386353,11.8648372590542,36.47571206
295,LVA,2012,27.6164889335632,13.8773277401924,34.40741003
296,LVA,2013,29.1428595781326,8.18607360124588,32.90088475
297,LVA,2014,31.0987293720245,8.7024986743927,31.8607986
298,LVA,2015,32.4794262647629,7.62077867984772,29.58281934
299,LVA,2016,33.7536126375198,7.17773213982582,27.84815133
300,LVA,2017,32.6821327209473,7.88272693753242,25.44902563
301,LVA,2018,34.2069059610367,7.19538852572441,21.88285142
302,LVA,2019,33.1455767154694,5.34158125519753,22.60648608
303,LVA,2020,33.9861363172531,6.86327517032623,18.74374598
304,LVA,2021,32.5011432170868,6.65998682379723,
