Country,Date,Total Asset
CA,2024-09,206.44
CA,2024-10,201.04
AT,2000-01,37.68
AT,2000-02,35.7
AT,2000-03,34.76
AT,2000-04,33.98
AT,2000-05,33.55
AT,2000-06,38.72
AT,2000-07,34.94
AT,2000-08,35.23
AT,2000-09,35.42
AT,2000-10,34.21
AT,2000-11,31.83
AT,2000-12,34.13
AT,2001-01,32.56
AT,2001-02,31.97
AT,2001-03,29.98
AT,2001-04,28.25
AT,2001-05,27.65
AT,2001-06,27.68
AT,2001-07,30.13
AT,2001-08,30.54
AT,2001-09,29.16
AT,2001-10,28.49
AT,2001-11,27.41
AT,2001-12,28.0
AT,2002-01,28.34
AT,2002-02,28.39
AT,2002-03,27.59
AT,2002-04,30.05
AT,2002-05,31.19
AT,2002-06,31.01
AT,2002-07,32.84
AT,2002-08,31.64
AT,2002-09,33.25
AT,2002-10,32.63
AT,2002-11,32.73
AT,2002-12,35.33
AT,2003-01,32.88
AT,2003-02,32.62
AT,2003-03,34.22
AT,2003-04,34.26
AT,2003-05,35.68
AT,2003-06,35.01
AT,2003-07,35.72
AT,2003-08,33.43
AT,2003-09,37.29
AT,2003-10,36.84
AT,2003-11,39.66
AT,2003-12,37.63
AT,2004-01,36.53
AT,2004-02,39.19
AT,2004-03,37.38
AT,2004-04,35.68
AT,2004-05,36.4
AT,2004-06,36.12
AT,2004-07,36.35
AT,2004-08,38.47
AT,2004-09,42.92
AT,2004-10,43.67
AT,2004-11,46.48
AT,2004-12,48.66
AT,2005-01,47.42
AT,2005-02,48.3
AT,2005-03,52.18
AT,2005-04,48.94
AT,2005-05,48.47
AT,2005-06,51.94
AT,2005-07,52.12
AT,2005-08,52.93
AT,2005-09,53.98
AT,2005-10,55.64
AT,2005-11,53.87
AT,2005-12,54.87
AT,2006-01,56.82
AT,2006-02,55.43
AT,2006-03,58.79
AT,2006-04,60.78
AT,2006-05,67.11
AT,2006-06,65.21
AT,2006-07,69.42
AT,2006-08,70.83
AT,2006-09,67.41
AT,2006-10,66.47
AT,2006-11,67.85
AT,2006-12,70.36
AT,2007-01,67.71
AT,2007-02,72.51
AT,2007-03,75.63
AT,2007-04,74.4
AT,2007-05,77.93
AT,2007-06,82.56
AT,2007-07,83.39
AT,2007-08,83.15
AT,2007-09,82.73
AT,2007-10,87.51
AT,2007-11,80.87
AT,2007-12,78.45
AT,2008-01,79.82
AT,2008-02,88.05
AT,2008-03,92.23
AT,2008-04,91.37
AT,2008-05,92.13
AT,2008-06,89.03
AT,2008-07,87.06
AT,2008-08,92.03
AT,2008-09,94.3
AT,2008-10,104.1
AT,2008-11,102.39
AT,2008-12,114.67
AT,2009-01,92.46
AT,2009-02,83.6
AT,2009-03,85.64
AT,2009-04,82.13
AT,2009-05,89.28
AT,2009-06,97.01
AT,2009-07,89.55
AT,2009-08,93.29
AT,2009-09,100.33
AT,2009-10,101.1
AT,2009-11,104.77
AT,2009-12,103.18
AT,2010-01,100.77
AT,2010-02,100.47
AT,2010-03,102.94
AT,2010-04,103.55
AT,2010-05,98.08
AT,2010-06,95.78
AT,2010-07,97.38
AT,2010-08,95.94
AT,2010-09,100.27
AT,2010-10,103.33
AT,2010-11,97.99
AT,2010-12,106.68
AT,2011-01,113.43
AT,2011-02,111.45
AT,2011-03,114.57
AT,2011-04,119.69
AT,2011-05,118.29
AT,2011-06,120.75
AT,2011-07,114.97
AT,2011-08,118.8
AT,2011-09,116.29
AT,2011-10,120.37
AT,2011-11,119.84
AT,2011-12,128.65
AT,2012-01,131.21
AT,2012-02,145.79
AT,2012-03,144.2
AT,2012-04,141.51
AT,2012-05,133.7
AT,2012-06,136.51
AT,2012-07,132.22
AT,2012-08,135.82
AT,2012-09,142.58
AT,2012-10,143.47
AT,2012-11,143.15
AT,2012-12,143.99
AT,2013-01,147.49
AT,2013-02,136.44
AT,2013-03,130.46
AT,2013-04,130.93
AT,2013-05,130.17
AT,2013-06,127.27
AT,2013-07,128.61
AT,2013-08,128.94
AT,2013-09,133.53
AT,2013-10,134.77
AT,2013-11,133.19
AT,2013-12,135.1
AT,2014-01,131.06
AT,2014-02,134.55
AT,2014-03,130.98
AT,2014-04,134.28
AT,2014-05,130.82
AT,2014-06,126.5
AT,2014-07,123.18
AT,2014-08,124.22
AT,2014-09,118.24
AT,2014-10,117.07
AT,2014-11,115.5
AT,2014-12,112.46
AT,2015-01,109.25
AT,2015-02,108.53
AT,2015-03,108.12
AT,2015-04,112.81
AT,2015-05,111.93
AT,2015-06,112.66
AT,2015-07,111.32
AT,2015-08,113.92
AT,2015-09,116.95
AT,2015-10,116.39
AT,2015-11,111.62
AT,2015-12,116.37
AT,2016-01,119.73
AT,2016-02,119.34
AT,2016-03,129.78
AT,2016-04,130.4
AT,2016-05,129.38
AT,2016-06,128.17
AT,2016-07,129.2
AT,2016-08,130.56
AT,2016-09,132.06
AT,2016-10,129.82
AT,2016-11,128.47
AT,2016-12,129.18
AT,2017-01,134.22
AT,2017-02,133.55
AT,2017-03,148.73
AT,2017-04,151.93
AT,2017-05,157.06
AT,2017-06,158.53
AT,2017-07,160.23
AT,2017-08,163.94
AT,2017-09,165.49
AT,2017-10,163.88
AT,2017-11,168.94
AT,2017-12,172.35
AT,2018-01,181.99
AT,2018-02,181.1
AT,2018-03,182.87
AT,2018-04,178.48
AT,2018-05,173.67
AT,2018-06,173.25
AT,2018-07,173.37
AT,2018-08,173.3
AT,2018-09,171.69
AT,2018-10,167.95
AT,2018-11,167.86
AT,2018-12,172.01
AT,2019-01,174.53
AT,2019-02,174.11
AT,2019-03,170.44
AT,2019-04,170.36
AT,2019-05,170.39
AT,2019-06,173.01
AT,2019-07,169.02
AT,2019-08,170.1
AT,2019-09,169.63
AT,2019-10,173.72
AT,2019-11,171.22
AT,2019-12,173.5
AT,2020-01,172.95
AT,2020-02,173.7
AT,2020-03,181.13
AT,2020-04,183.19
AT,2020-05,192.32
AT,2020-06,232.88
AT,2020-07,248.5
AT,2020-08,254.28
AT,2020-09,259.55
AT,2020-10,262.06
AT,2020-11,272.07
AT,2020-12,280.69
AT,2021-01,280.21
AT,2021-02,282.23
AT,2021-03,288.23
AT,2021-04,299.75
AT,2021-05,304.33
AT,2021-06,306.05
AT,2021-07,310.13
AT,2021-08,319.35
AT,2021-09,312.24
AT,2021-10,315.35
AT,2021-11,310.62
AT,2021-12,311.35
AT,2022-01,309.64
AT,2022-02,313.41
AT,2022-03,306.01
AT,2022-04,291.71
AT,2022-05,298.24
AT,2022-06,289.91
AT,2022-07,285.54
AT,2022-08,285.42
AT,2022-09,281.94
AT,2022-10,290.45
AT,2022-11,287.84
AT,2022-12,281.23
AT,2023-01,280.19
AT,2023-02,277.4
AT,2023-03,284.59
AT,2023-04,286.74
AT,2023-05,282.7
AT,2023-06,267.03
AT,2023-07,269.4
AT,2023-08,269.22
AT,2023-09,260.44
AT,2023-10,261.54
AT,2023-11,272.32
AT,2023-12,274.64
AT,2024-01,270.1
AT,2024-02,262.74
AT,2024-03,256.0
AT,2024-04,254.83
AT,2024-05,259.16
AT,2024-06,255.07
AT,2024-07,254.54
AT,2024-08,264.1
AT,2024-09,269.93
AE,2000-01,10.89
AE,2000-02,10.72
AE,2000-03,10.66
AE,2000-04,11.11
AE,2000-05,11.27
AE,2000-06,11.65
AE,2000-07,11.89
AE,2000-08,12.05
AE,2000-09,12.47
AE,2000-10,12.52
AE,2000-11,13.23
AE,2000-12,13.65
AE,2001-01,13.65
AE,2001-02,13.79
AE,2001-03,13.91
AE,2001-04,13.99
AE,2001-05,14.07
AE,2001-06,14.4
AE,2001-07,14.0
AE,2001-08,14.15
AE,2001-09,14.59
AE,2001-10,14.86
AE,2001-11,14.41
AE,2001-12,14.12
AE,2002-01,13.91
AE,2002-02,13.69
AE,2002-03,13.27
AE,2002-04,13.94
AE,2002-05,13.58
AE,2002-06,14.29
AE,2002-07,13.64
AE,2002-08,13.6
AE,2002-09,13.68
AE,2002-10,13.5
AE,2002-11,15.19
AE,2002-12,15.05
AE,2003-01,14.53
AE,2003-02,13.85
AE,2003-03,13.9
AE,2003-04,14.17
AE,2003-05,14.19
AE,2003-06,14.29
AE,2003-07,15.15
AE,2003-08,14.94
AE,2003-09,14.58
AE,2003-10,14.44
AE,2003-11,14.8
AE,2003-12,14.84
AE,2004-01,16.39
AE,2004-02,17.1
AE,2004-03,17.46
AE,2004-04,17.9
AE,2004-05,16.64
AE,2004-06,16.24
AE,2004-07,22.33
AE,2004-08,16.42
AE,2004-09,16.31
AE,2004-10,16.82
AE,2004-11,18.06
AE,2004-12,18.42
AE,2005-01,18.19
AE,2005-02,18.42
AE,2005-03,19.24
AE,2005-04,19.9
AE,2005-05,19.64
AE,2005-06,20.41
AE,2005-07,23.72
AE,2005-08,23.34
AE,2005-09,23.43
AE,2005-10,25.29
AE,2005-11,23.43
AE,2005-12,21.88
AE,2006-01,22.14
AE,2006-02,23.54
AE,2006-03,23.57
AE,2006-04,24.8
AE,2006-05,26.14
AE,2006-06,26.3
AE,2006-07,26.16
AE,2006-08,25.65
AE,2006-09,27.33
AE,2006-10,26.3
AE,2006-11,27.97
AE,2006-12,28.11
AE,2007-01,28.92
AE,2007-02,31.03
AE,2007-03,35.39
AE,2007-04,40.76
AE,2007-05,43.12
AE,2007-06,44.41
AE,2007-07,43.0
AE,2007-08,44.17
AE,2007-09,50.3
AE,2007-10,51.16
AE,2007-11,76.63
AE,2007-12,77.86
AE,2008-01,76.93
AE,2008-02,82.25
AE,2008-03,83.69
AE,2008-04,71.75
AE,2008-05,71.45
AE,2008-06,64.43
AE,2008-07,56.62
AE,2008-08,52.58
AE,2008-09,50.85
AE,2008-10,57.36
AE,2008-11,56.06
AE,2008-12,52.76
AE,2009-01,48.86
AE,2009-02,52.3
AE,2009-03,54.85
AE,2009-04,52.96
AE,2009-05,54.43
AE,2009-06,56.59
AE,2009-07,58.22
AE,2009-08,58.54
AE,2009-09,58.85
AE,2009-10,59.07
AE,2009-11,61.95
AE,2009-12,55.53
AE,2010-01,53.0
AE,2010-02,52.64
AE,2010-03,53.43
AE,2010-04,53.15
AE,2010-05,54.38
AE,2010-06,55.03
AE,2010-07,58.35
